DATE,VALUE
2016-07-20,18595.03
2016-07-21,18517.23
2016-07-22,18570.85
2016-07-25,18493.06
2016-07-26,18473.75
2016-07-27,18472.17
2016-07-28,18456.35
2016-07-29,18432.24
2016-08-01,18404.51
2016-08-02,18313.77
2016-08-03,18355.00
2016-08-04,18352.05
2016-08-05,18543.53
2016-08-08,18529.29
2016-08-09,18533.05
2016-08-10,18495.66
2016-08-11,18613.52
2016-08-12,18576.47
2016-08-15,18636.05
2016-08-16,18552.02
2016-08-17,18573.94
2016-08-18,18597.70
2016-08-19,18552.57
2016-08-22,18529.42
2016-08-23,18547.30
2016-08-24,18481.48
2016-08-25,18448.41
2016-08-26,18395.40
2016-08-29,18502.99
2016-08-30,18454.30
2016-08-31,18400.88
2016-09-01,18419.30
2016-09-02,18491.96
2016-09-05,.
2016-09-06,18538.12
2016-09-07,18526.14
2016-09-08,18479.91
2016-09-09,18085.45
2016-09-12,18325.07
2016-09-13,18066.75
2016-09-14,18034.77
2016-09-15,18212.48
2016-09-16,18123.80
2016-09-19,18120.17
2016-09-20,18129.96
2016-09-21,18293.70
2016-09-22,18392.46
2016-09-23,18261.45
2016-09-26,18094.83
2016-09-27,18228.30
2016-09-28,18339.24
2016-09-29,18143.45
2016-09-30,18308.15
2016-10-03,18253.85
2016-10-04,18168.45
2016-10-05,18281.03
2016-10-06,18268.50
2016-10-07,18240.49
2016-10-10,18329.04
2016-10-11,18128.66
2016-10-12,18144.20
2016-10-13,18098.94
2016-10-14,18138.38
2016-10-17,18086.40
2016-10-18,18161.94
2016-10-19,18202.62
2016-10-20,18162.35
2016-10-21,18145.71
2016-10-24,18223.03
2016-10-25,18169.27
2016-10-26,18199.33
2016-10-27,18169.68
2016-10-28,18161.19
2016-10-31,18142.42
2016-11-01,18037.10
2016-11-02,17959.64
2016-11-03,17930.67
2016-11-04,17888.28
2016-11-07,18259.60
2016-11-08,18332.74
2016-11-09,18589.69
2016-11-10,18807.88
2016-11-11,18847.66
2016-11-14,18868.69
2016-11-15,18923.06
2016-11-16,18868.14
2016-11-17,18903.82
2016-11-18,18867.93
2016-11-21,18956.69
2016-11-22,19023.87
2016-11-23,19083.18
2016-11-24,.
2016-11-25,19152.14
2016-11-28,19097.90
2016-11-29,19121.60
2016-11-30,19123.58
2016-12-01,19191.93
2016-12-02,19170.42
2016-12-05,19216.24
2016-12-06,19251.78
2016-12-07,19549.62
2016-12-08,19614.81
2016-12-09,19756.85
2016-12-12,19796.43
2016-12-13,19911.21
2016-12-14,19792.53
2016-12-15,19852.24
2016-12-16,19843.41
2016-12-19,19883.06
2016-12-20,19974.62
2016-12-21,19941.96
2016-12-22,19918.88
2016-12-23,19933.81
2016-12-26,.
2016-12-27,19945.04
2016-12-28,19833.68
2016-12-29,19819.78
2016-12-30,19762.60
2017-01-02,.
2017-01-03,19881.76
2017-01-04,19942.16
2017-01-05,19899.29
2017-01-06,19963.80
2017-01-09,19887.38
2017-01-10,19855.53
2017-01-11,19954.28
2017-01-12,19891.00
2017-01-13,19885.73
2017-01-16,.
2017-01-17,19826.77
2017-01-18,19804.72
2017-01-19,19732.40
2017-01-20,19827.25
2017-01-23,19799.85
2017-01-24,19912.71
2017-01-25,20068.51
2017-01-26,20100.91
2017-01-27,20093.78
2017-01-30,19971.13
2017-01-31,19864.09
2017-02-01,19890.94
2017-02-02,19884.91
2017-02-03,20071.46
2017-02-06,20052.42
2017-02-07,20090.29
2017-02-08,20054.34
2017-02-09,20172.40
2017-02-10,20269.37
2017-02-13,20412.16
2017-02-14,20504.41
2017-02-15,20611.86
2017-02-16,20619.77
2017-02-17,20624.05
2017-02-20,.
2017-02-21,20743.00
2017-02-22,20775.60
2017-02-23,20810.32
2017-02-24,20821.76
2017-02-27,20837.44
2017-02-28,20812.24
2017-03-01,21115.55
2017-03-02,21002.97
2017-03-03,21005.71
2017-03-06,20954.34
2017-03-07,20924.76
2017-03-08,20855.73
2017-03-09,20858.19
2017-03-10,20902.98
2017-03-13,20881.48
2017-03-14,20837.37
2017-03-15,20950.10
2017-03-16,20934.55
2017-03-17,20914.62
2017-03-20,20905.86
2017-03-21,20668.01
2017-03-22,20661.30
2017-03-23,20656.58
2017-03-24,20596.72
2017-03-27,20550.98
